filename,sheet,q,g,k
Data_compile_1-1.5_1%_new,1RPM,0.008160377,15.92276382,1.79769E-05
Data_compile_1-1.5_1%_new,5RPM,0.042006135,15.92276382,1.79769E-05
Data_compile_1-1.5_4%_new,1RPM,0.008160377,44.78585427,1.79769E-05
Data_compile_1-1.5_4%_new,5RPM,0.042006135,44.78585427,1.79769E-05
Data_compile_1-1.5_4%_new,10RPM,0.086535718,44.78585427,1.79769E-05
Data_compile_1-1.5_4%_new,15RPM,0.130498974,44.78585427,1.79769E-05
Data_compile_1-1.5_7%_new,1RPM,0.008160377,74.51163317,1.79769E-05
Data_compile_1-1.5_7%_new,5RPM,0.042006135,74.51163317,1.79769E-05
Data_compile_1-1.5_7%_new,10RPM,0.086535718,74.51163317,1.79769E-05
Data_compile_1-1.5_7%_new,15RPM,0.130498974,74.51163317,1.79769E-05
Data_compile_1-1.5_7%_new,20RPM,0.173231739,74.51163317,1.79769E-05
Data_compile_1-1.5_7%_new,25RPM,0.218781547,74.51163317,1.79769E-05
Data_compile_1-1.5_10%_new,1RPM,0.008160377,105.6423618,1.79769E-05
Data_compile_1-1.5_10%_new,5RPM,0.042006135,105.6423618,1.79769E-05
Data_compile_1-1.5_10%_new,10RPM,0.086535718,105.6423618,1.79769E-05
Data_compile_1-1.5_10%_new,15RPM,0.130498974,105.6423618,1.79769E-05
Data_compile_1-1.5_10%_new,25RPM,0.218781547,105.6423618,1.79769E-05
Data_compile_1-1.5_10%_new,30RPM,0.259962948,105.6423618,1.79769E-05
Data_compile_2-2.5_1%_new,1RPM,0.008160377,15.92276382,5.36585E-05
Data_compile_2-2.5_1%_new,5RPM,0.042006135,15.92276382,5.36585E-05
Data_compile_2-2.5_1%_new,10RPM,0.086535718,15.92276382,5.36585E-05
Data_compile_2-2.5_4%_new,1RPM,0.008160377,44.78585427,5.36585E-05
Data_compile_2-2.5_4%_new,5RPM,0.042006135,44.78585427,5.36585E-05
Data_compile_2-2.5_4%_new,10RPM,0.086535718,44.78585427,5.36585E-05
Data_compile_2-2.5_4%_new,15RPM,0.130498974,44.78585427,5.36585E-05
Data_compile_2-2.5_4%_new,25RPM,0.218781547,44.78585427,5.36585E-05
Data_compile_2-2.5_4%_new,30RPM,0.259962948,44.78585427,5.36585E-05
Data_compile_2-2.5_7%_new,1RPM,0.008160377,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,5RPM,0.042006135,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,10RPM,0.086535718,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,15RPM,0.130498974,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,20RPM,0.173231739,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,25RPM,0.218781547,74.51163317,5.36585E-05
Data_compile_2-2.5_7%_new,30RPM,0.259962948,74.51163317,5.36585E-05
Data_compile_2-2.5_10%_new,1RPM,0.008160377,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,5RPM,0.042006135,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,10RPM,0.086535718,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,15RPM,0.130498974,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,20RPM,0.173231739,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,25RPM,0.218781547,105.6423618,5.36585E-05
Data_compile_2-2.5_10%_new,30RPM,0.259962948,105.6423618,5.36585E-05
Data_compile_3-3.5_1%_new,1RPM,0.008160377,15.92276382,0.000116966
Data_compile_3-3.5_1%_new,5RPM,0.042006135,15.92276382,0.000116966
Data_compile_3-3.5_1%_new,10RPM,0.086535718,15.92276382,0.000116966
Data_compile_3-3.5_4%_new,1RPM,0.008160377,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,5RPM,0.042006135,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,10RPM,0.086535718,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,15RPM,0.130498974,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,20RPM,0.173231739,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,25RPM,0.218781547,44.78585427,0.000116966
Data_compile_3-3.5_4%_new,30RPM,0.259962948,44.78585427,0.000116966
Data_compile_3-3.5_7%_new,1RPM,0.008160377,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,5RPM,0.042006135,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,10RPM,0.086535718,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,15RPM,0.130498974,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,20RPM,0.173231739,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,25RPM,0.218781547,74.51163317,0.000116966
Data_compile_3-3.5_7%_new,30RPM,0.259962948,74.51163317,0.000116966
Data_compile_3-3.5_10%_new,1RPM,0.008160377,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,5RPM,0.042006135,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,10RPM,0.086535718,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,15RPM,0.130498974,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,20RPM,0.173231739,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,25RPM,0.218781547,105.6423618,0.000116966
Data_compile_3-3.5_10%_new,30RPM,0.259962948,105.6423618,0.000116966
Data_compile_4-5_1%_new,1RPM,0.008160377,15.92276382,0.000231757
Data_compile_4-5_1%_new,5RPM,0.042006135,15.92276382,0.000231757
Data_compile_4-5_1%_new,10RPM,0.086535718,15.92276382,0.000231757
Data_compile_4-5_1%_new,15RPM,0.130498974,15.92276382,0.000231757
Data_compile_4-5_1%_new,20RPM,0.173231739,15.92276382,0.000231757
Data_compile_4-5_1%_new,30RPM,0.259962948,15.92276382,0.000231757
Data_compile_4-5_4%_new,1RPM,0.008160377,44.78585427,0.000231757
Data_compile_4-5_4%_new,5RPM,0.042006135,44.78585427,0.000231757
Data_compile_4-5_4%_new,10RPM,0.086535718,44.78585427,0.000231757
Data_compile_4-5_4%_new,15RPM,0.130498974,44.78585427,0.000231757
Data_compile_4-5_4%_new,20RPM,0.173231739,44.78585427,0.000231757
Data_compile_4-5_4%_new,25RPM,0.218781547,44.78585427,0.000231757
Data_compile_4-5_7%_new,1RPM,0.008160377,74.51163317,0.000231757
Data_compile_4-5_7%_new,5RPM,0.042006135,74.51163317,0.000231757
Data_compile_4-5_7%_new,10RPM,0.086535718,74.51163317,0.000231757
Data_compile_4-5_7%_new,15RPM,0.130498974,74.51163317,0.000231757
Data_compile_4-5_7%_new,20RPM,0.173231739,74.51163317,0.000231757
Data_compile_4-5_7%_new,25RPM,0.218781547,74.51163317,0.000231757
Data_compile_4-5_10%_new,1RPM,0.008160377,105.6423618,0.000231757
Data_compile_4-5_10%_new,5RPM,0.042006135,105.6423618,0.000231757
Data_compile_4-5_10%_new,10RPM,0.086535718,105.6423618,0.000231757
Data_compile_4-5_10%_new,15RPM,0.130498974,105.6423618,0.000231757
Data_compile_4-5_10%_new,20RPM,0.173231739,105.6423618,0.000231757
Data_compile_4-5_10%_new,25RPM,0.218781547,105.6423618,0.000231757
Data_compile_4-5_10%_new,30RPM,0.259962948,105.6423618,0.000231757
