-0.44715,-1.4151,1
-0.4135,-1.3964,1
-0.38227,-1.363,1
-0.35313,-1.3445,1
-0.32583,-1.3182,1
-0.30014,-1.3032,1
-0.27589,-1.2854,1
-0.25292,-1.2699,1
-0.23111,-1.2594,1
-0.21033,-1.2462,1
-1.8598,-2.7257,2
-1.767,-2.619,2
-1.6906,-2.5379,2
-1.6257,-2.4619,2
-1.5692,-2.4005,2
-1.5193,-2.3527,2
-1.4744,-2.3097,2
-1.4338,-2.2755,2
-1.3967,-2.2392,2
-1.3625,-2.2079,2
-1.3308,-2.1807,2
-1.3012,-2.1531,2
0.63187,-0.52347,13
0.67154,-0.49729,13
0.70789,-0.46395,13
0.74143,-0.43299,13
0.77257,-0.40972,13
0.80162,-0.38943,13
0.82885,-0.36151,13
0.85447,-0.34493,13
0.87867,-0.3274,13
0.90159,-0.31055,13
0.92336,-0.29869,13
0.94409,-0.28715,13
-0.48722,-1.3098,14
-0.45023,-1.2836,14
-0.41615,-1.2567,14
-0.38455,-1.2274,14
-0.3551,-1.2017,14
-0.32752,-1.1886,14
-0.30158,-1.1686,14
-0.27711,-1.1445,14
-0.25394,-1.1264,14
-0.23194,-1.1106,14
-0.21101,-1.0969,14
-0.19104,-1.0763,14
-0.82084,-1.6767,15
-0.78221,-1.6398,15
-0.74674,-1.6079,15
-0.71395,-1.5865,15
-0.68346,-1.5602,15
-0.65497,-1.541,15
-0.62824,-1.5137,15
-0.60305,-1.493,15
-0.57925,-1.47,15
-0.55668,-1.4574,15
-0.53523,-1.4348,15
-0.51479,-1.4175,15
-1.0764,-1.3197,14
-1.0417,-1.2883,14
-1.0095,-1.2611,14
-0.97951,-1.2314,14
-0.95148,-1.2075,14
-0.92515,-1.1812,14
-0.90033,-1.1633,14
-0.87685,-1.1428,14
-0.85457,-1.128,14
-0.83338,-1.1122,14
-0.81318,-1.0909,14
-0.79387,-1.0778,14
-1.3008,-1.3222,14
-1.2661,-1.2767,14
-1.2339,-1.2546,14
-1.2039,-1.2213,14
-1.1759,-1.2017,14
-1.1496,-1.1794,14
